Sample	Reference virus	Genus	Description	%Identity
MW-S029	AB465608	potyvirus	Sweet potato feathery mottle virus	96.95
MW-S029	JN613805	potyvirus	Sweet potato virus G	98.27
MW-S034	FJ560943	badnavirus	Sweet potato badnavirus A	83.47
MW-S034	KF836892	badnavirus	Sweet potato badnavirus B	83.73
MW-S034	JQ902104	badnavirus	Sweet potato badnavirus C	86.9
MW-S034	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.2
MW-S034	EF155987	potyvirus	Sweet potato feathery mottle virus	94.31
MW-S034	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S037	FJ560943	badnavirus	Sweet potato badnavirus A	78.86
MW-S037	FJ560944	badnavirus	Sweet potato badnavirus B	89.85
MW-S037	JQ902104	badnavirus	Sweet potato badnavirus C	80.45
MW-S037	EU375904	carlavirus	Sweet potato chlorotic fleck virus	90.79
MW-S037	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	97.65
MW-S037	AF016366	potyvirus	Sweet potato feathery mottle virus	97.44
MW-S037	JN613807	potyvirus	Sweet potato virus 2	72.13
MW-S037	GU207957	potyvirus	Sweet potato virus C	72.9
MW-S037	KF790759	potyvirus	Sweet potato virus G	72.39
MW-S042	FJ560943	badnavirus	Sweet potato badnavirus A	88.49
MW-S042	KF836892	badnavirus	Sweet potato badnavirus B	89.85
MW-S042	JQ902103	badnavirus	Sweet potato badnavirus C	93.41
MW-S042	D86371	potyvirus	Sweet potato feathery mottle virus	98.01
MW-S042	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S042	JN613805	potyvirus	Sweet potato virus G	97.86
MW-S046	FJ560943	badnavirus	Sweet potato badnavirus A	87.37
MW-S046	FJ560944	badnavirus	Sweet potato badnavirus B	89.01
MW-S046	JQ902104	badnavirus	Sweet potato badnavirus C	85.59
MW-S046	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.19
MW-S046	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.28
MW-S046	D86371	potyvirus	Sweet potato feathery mottle virus	95.65
MW-S046	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S046	JN613805	potyvirus	Sweet potato virus G	97.9
MW-S047	FJ560943	badnavirus	Sweet potato badnavirus A	85.09
MW-S047	FJ560944	badnavirus	Sweet potato badnavirus B	86.68
MW-S047	JQ902104	badnavirus	Sweet potato badnavirus C	85.69
MW-S047	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.09
MW-S047	EF155987	potyvirus	Sweet potato feathery mottle virus	93.94
MW-S047	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S047	JN613805	potyvirus	Sweet potato virus G	97.62
MW-S052	FJ560943	badnavirus	Sweet potato badnavirus A	86.7
MW-S052	FJ560944	badnavirus	Sweet potato badnavirus B	89.02
MW-S052	JQ902104	badnavirus	Sweet potato badnavirus C	86.05
MW-S052	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.49
MW-S052	AY523547	potyvirus	Sweet potato feathery mottle virus	97.68
MW-S052	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S052	JN613805	potyvirus	Sweet potato virus G	97.56
MW-S053	FJ560944	badnavirus	Sweet potato badnavirus B	95.04
MW-S053	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S053	JN613805	potyvirus	Sweet potato virus G	98.1
MW-S061	KF545103	badnavirus	Banana streak virus	75.1
MW-S061	FJ560943	badnavirus	Sweet potato badnavirus A	85.95
MW-S061	FJ560944	badnavirus	Sweet potato badnavirus B	87.16
MW-S061	JQ902104	badnavirus	Sweet potato badnavirus C	87.78
MW-S061	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.25
MW-S061	EF155987	potyvirus	Sweet potato feathery mottle virus	94.64
MW-S061	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S061	JN613805	potyvirus	Sweet potato virus G	97.54
MW-S064	JQ902104	badnavirus	Sweet potato badnavirus C	96.05
MW-S064	AY523547	potyvirus	Sweet potato feathery mottle virus	97.24
MW-S064	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S066	JQ902104	badnavirus	Sweet potato badnavirus C	96
MW-S066	AY523547	potyvirus	Sweet potato feathery mottle virus	98.36
MW-S066	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S066	KF386015	potyvirus	Sweet potato virus C	97.85
MW-S081	FJ560943	badnavirus	Sweet potato badnavirus A	79.08
MW-S081	FJ560944	badnavirus	Sweet potato badnavirus B	79.39
MW-S081	JQ902104	badnavirus	Sweet potato badnavirus C	83.53
MW-S081	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.36
MW-S081	EU375904	carlavirus	Sweet potato chlorotic fleck virus	91.53
MW-S081	AB465608	potyvirus	Sweet potato feathery mottle virus	97.42
MW-S082	EU375898	carlavirus	Sweet potato chlorotic fleck virus	97.17
MW-S082	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.07
MW-S082	AY523547	potyvirus	Sweet potato feathery mottle virus	98.01
MW-S084	AJ968467	badnavirus	Banana streak virus	80.95
MW-S084	FJ560943	badnavirus	Sweet potato badnavirus A	79.74
MW-S084	KF836892	badnavirus	Sweet potato badnavirus B	82.26
MW-S084	JQ902104	badnavirus	Sweet potato badnavirus C	82.09
MW-S084	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.17
MW-S084	EU375898	carlavirus	Sweet potato chlorotic fleck virus	97.84
MW-S084	AY523547	potyvirus	Sweet potato feathery mottle virus	98.51
MW-S085	JQ902104	badnavirus	Sweet potato badnavirus C	96.03
MW-S085	FJ795750	potyvirus	Sweet potato feathery mottle virus	94.38
MW-S085	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S085	JN613807	potyvirus	Sweet potato virus 2	97.59
MW-S085	KF386015	potyvirus	Sweet potato virus C	97.97
MW-S085	AY459612	potyvirus	Sweet potato virus Y	96.59
MW-S086	FJ560943	badnavirus	Sweet potato badnavirus A	89.13
MW-S086	FJ560944	badnavirus	Sweet potato badnavirus B	89.19
MW-S086	JQ902104	badnavirus	Sweet potato badnavirus C	81.99
MW-S086	AB465608	potyvirus	Sweet potato feathery mottle virus	98.29
MW-S086	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S086	JN613807	potyvirus	Sweet potato virus 2	97.34
MW-S086	AY459612	potyvirus	Sweet potato virus Y	97.18
MW-S087	FJ560943	badnavirus	Sweet potato badnavirus A	90.45
MW-S087	FJ560944	badnavirus	Sweet potato badnavirus B	90.58
MW-S087	JQ902104	badnavirus	Sweet potato badnavirus C	80.85
MW-S087	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.87
MW-S087	AB465608	potyvirus	Sweet potato feathery mottle virus	98.13
MW-S087	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S087	JN613807	potyvirus	Sweet potato virus 2	97.7
MW-S087	AY459612	potyvirus	Sweet potato virus Y	97.76
MW-S091	FJ560943	badnavirus	Sweet potato badnavirus A	79.45
MW-S091	FJ560944	badnavirus	Sweet potato badnavirus B	80.83
MW-S091	JQ902103	badnavirus	Sweet potato badnavirus C	97.56
MW-S091	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	97.97
MW-S091	AB465608	potyvirus	Sweet potato feathery mottle virus	96.73
MW-S094	AM944576	badnavirus	Dioscorea bacilliform virus	79.13
MW-S094	KF836892	badnavirus	Sweet potato badnavirus B	95.88
MW-S094	JQ902104	badnavirus	Sweet potato badnavirus C	89.21
MW-S094	EF155974	potyvirus	Sweet potato feathery mottle virus	96.53
MW-S097	AJ968517	badnavirus	Banana streak virus	75.3
MW-S097	EU130910	badnavirus	Citrus yellow mosaic virus	76.81
MW-S097	U13988	soymovirus	Peanut chlorotic streak caulimovirus	68.37
MW-S097	FJ560943	badnavirus	Sweet potato badnavirus A	83.83
MW-S097	KF836892	badnavirus	Sweet potato badnavirus B	85.86
MW-S097	JQ902104	badnavirus	Sweet potato badnavirus C	88.63
MW-S097	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.12
MW-S097	AB465608	potyvirus	Sweet potato feathery mottle virus	97.82
MW-S104	FJ560943	badnavirus	Sweet potato badnavirus A	90.8
MW-S104	FJ560944	badnavirus	Sweet potato badnavirus B	93.96
MW-S104	AB465608	potyvirus	Sweet potato feathery mottle virus	97.55
MW-S104	JN657687	begomovirus	Sweet potato leaf curl virus	98.04
MW-S104	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S109	JQ902104	badnavirus	Sweet potato badnavirus C	95.08
NI-S001	KF836892	badnavirus	Sweet potato badnavirus B	99.42
NI-S001	JQ902104	badnavirus	Sweet potato badnavirus C	95.57
NI-S001	EF155974	potyvirus	Sweet potato feathery mottle virus	94.2
NI-S001	FJ969833	begomovirus	Sweet potato leaf curl virus	96.3
NI-S001	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S002	JQ902104	badnavirus	Sweet potato badnavirus C	96.73
NI-S002	EF155987	potyvirus	Sweet potato feathery mottle virus	96.88
NI-S002	FJ969833	begomovirus	Sweet potato leaf curl virus	96.31
NI-S002	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S003	FJ969833	begomovirus	Sweet potato leaf curl virus	96.68
NI-S003	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S004	EF155993	potyvirus	Sweet potato feathery mottle virus	91.63
NI-S004	HQ393457	begomovirus	Sweet potato golden vein associated virus	93.36
NI-S004	FJ969833	begomovirus	Sweet potato leaf curl virus	96.76
NI-S004	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S005	JQ902104	badnavirus	Sweet potato badnavirus C	94.87
NI-S005	FJ969833	begomovirus	Sweet potato leaf curl virus	96.5
NI-S005	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S006	JQ902104	badnavirus	Sweet potato badnavirus C	95.87
NI-S006	FJ969833	begomovirus	Sweet potato leaf curl virus	95.62
NI-S006	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S007	FJ560944	badnavirus	Sweet potato badnavirus B	96.37
NI-S007	EU375897	carlavirus	Sweet potato chlorotic fleck virus	97.57
NI-S007	EF155974	potyvirus	Sweet potato feathery mottle virus	93.79
NI-S008	FJ155666	potyvirus	Sweet potato feathery mottle virus	96.49
NI-S010	FJ560944	badnavirus	Sweet potato badnavirus B	97.31
NI-S010	FJ155666	potyvirus	Sweet potato feathery mottle virus	94.85
NI-S037	FJ795752	potyvirus	Sweet potato feathery mottle virus	77.96
NI-S037	GU207957	potyvirus	Sweet potato virus C	77.81
NI-S043	AY523547	potyvirus	Sweet potato feathery mottle virus	97.96
NI-S044	EU375897	carlavirus	Sweet potato chlorotic fleck virus	99.21
NI-S047	FJ560944	badnavirus	Sweet potato badnavirus B	97.15
NI-S048	FJ560944	badnavirus	Sweet potato badnavirus B	96.64
NI-S048	EU375897	carlavirus	Sweet potato chlorotic fleck virus	98.03
NI-S048	AY523547	potyvirus	Sweet potato feathery mottle virus	95.83
NI-S049	JQ902104	badnavirus	Sweet potato badnavirus C	95.54
NI-S049	FJ155666	potyvirus	Sweet potato feathery mottle virus	77.01
NI-S049	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S049	KF386015	potyvirus	Sweet potato virus C	75.77
NI-S050	JQ902104	badnavirus	Sweet potato badnavirus C	95.3
NI-S050	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S051	FJ969833	begomovirus	Sweet potato leaf curl virus	96.51
NI-S051	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S052	JQ902104	badnavirus	Sweet potato badnavirus C	96.03
NI-S052	D86371	potyvirus	Sweet potato feathery mottle virus	94.36
NI-S052	FJ969833	begomovirus	Sweet potato leaf curl virus	96.34
NI-S052	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S053	JQ902104	badnavirus	Sweet potato badnavirus C	94.87
NI-S053	EF155993	potyvirus	Sweet potato feathery mottle virus	96.02
NI-S053	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S054	JQ902104	badnavirus	Sweet potato badnavirus C	95.65
NI-S054	EU809497	potyvirus	Sweet potato feathery mottle virus	87.36
NI-S054	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S054	GU207957	potyvirus	Sweet potato virus C	80.19
NI-S054	KF790759	potyvirus	Sweet potato virus G	77.58
NI-S055	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S056	FJ560944	badnavirus	Sweet potato badnavirus B	99.17
NI-S061	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.73
NI-S067	JQ902104	badnavirus	Sweet potato badnavirus C	95.3
NI-S067	EF155993	potyvirus	Sweet potato feathery mottle virus	92.53
NI-S067	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S068	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S069	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S074	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
NI-S079	AB439206	potyvirus	Sweet potato feathery mottle virus	97.38
NI-S081	FJ560944	badnavirus	Sweet potato badnavirus B	99.25
NI-S081	JQ902104	badnavirus	Sweet potato badnavirus C	96.75
NI-S081	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
Tanzania	KF803547	mitovirus	Fusarium circinatum mitovirus 2-1	96.8
Tanzania	DQ644561	begomovirus	Merremia leaf curl virus	93.21
Tanzania	GQ387059	begomovirus	Potato yellow mosaic Trinidad virus	90.78
Tanzania	JQ902104	badnavirus	Sweet potato badnavirus C	96.15
Tanzania	GQ268230	begomovirus	Sweet potato begomovirus	93.95
Tanzania	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.32
Tanzania	AY523547	potyvirus	Sweet potato feathery mottle virus	96.85
Tanzania	KF803170	begomovirus	Sweet potato golden vein associated virus	94.07
Tanzania	FR751068	begomovirus	Sweet potato leaf curl virus	95.88
Tanzania	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
Tanzania	AB001294	begomovirus	Tobacco leaf curl virus	97.56
TZ1	KF386729	badnavirus	Banana streak virus	76.16
TZ1	FJ560943	badnavirus	Sweet potato badnavirus A	80.97
TZ1	KF836892	badnavirus	Sweet potato badnavirus B	84.7
TZ1	JQ902104	badnavirus	Sweet potato badnavirus C	76.87
TZ1	AY523547	potyvirus	Sweet potato feathery mottle virus	95.93
TZ10	FJ560943	badnavirus	Sweet potato badnavirus A	78.78
TZ10	KF836892	badnavirus	Sweet potato badnavirus B	89.5
TZ10	JQ902104	badnavirus	Sweet potato badnavirus C	86.06
TZ10	AY523547	potyvirus	Sweet potato feathery mottle virus	97.16
TZ107	JQ902103	badnavirus	Sweet potato badnavirus C	100
TZ107	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.77
TZ151	AB465608	potyvirus	Sweet potato feathery mottle virus	97.08
TZ151	KF697069	begomovirus	Sweet potato leaf curl virus	95.8
TZ151	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ151	KF386015	potyvirus	Sweet potato virus C	96.65
TZ155	AY523547	potyvirus	Sweet potato feathery mottle virus	98
TZ155	KF386015	potyvirus	Sweet potato virus C	96.08
TZ156	KF836892	badnavirus	Sweet potato badnavirus B	97.66
TZ156	JQ902103	badnavirus	Sweet potato badnavirus C	96.77
TZ156	AY523547	potyvirus	Sweet potato feathery mottle virus	97.53
TZ156	KM050768	begomovirus	Sweet potato leaf curl virus	93.52
TZ164	JQ902104	badnavirus	Sweet potato badnavirus C	91.55
TZ164	AY523547	potyvirus	Sweet potato feathery mottle virus	97.45
TZ164	KF386015	potyvirus	Sweet potato virus C	96.18
TZ170	AJ968472	badnavirus	Banana streak virus	75.68
TZ170	FJ560943	badnavirus	Sweet potato badnavirus A	83.46
TZ170	KF836892	badnavirus	Sweet potato badnavirus B	91.56
TZ170	JQ902104	badnavirus	Sweet potato badnavirus C	87.96
TZ170	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.38
TZ170	FJ155666	potyvirus	Sweet potato feathery mottle virus	95.6
TZ170	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ171	AB465608	potyvirus	Sweet potato feathery mottle virus	97.02
TZ171	KF697069	begomovirus	Sweet potato leaf curl virus	95.07
TZ181	JQ902104	badnavirus	Sweet potato badnavirus C	94.07
TZ181	AB465608	potyvirus	Sweet potato feathery mottle virus	96.36
TZ181	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ181	JX489166	potyvirus	Sweet potato virus C	93.26
TZ188	JQ902104	badnavirus	Sweet potato badnavirus C	96.08
TZ188	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ191	JQ902103	badnavirus	Sweet potato badnavirus C	92.23
TZ191	HQ393444	begomovirus	Sweet potato golden vein associated virus	96.53
TZ191	KP069465	begomovirus	Sweet potato leaf curl virus	96.43
TZ196	FJ560943	badnavirus	Sweet potato badnavirus A	74.54
TZ196	KF836892	badnavirus	Sweet potato badnavirus B	85.65
TZ196	JQ902104	badnavirus	Sweet potato badnavirus C	79.89
TZ196	AY523547	potyvirus	Sweet potato feathery mottle virus	98.05
TZ198	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.86
TZ198	AY523547	potyvirus	Sweet potato feathery mottle virus	98.2
TZ198	HQ333136	begomovirus	Sweet potato leaf curl virus	94.13
TZ2	FJ560943	badnavirus	Sweet potato badnavirus A	74.48
TZ2	KF836892	badnavirus	Sweet potato badnavirus B	80.27
TZ2	JQ902104	badnavirus	Sweet potato badnavirus C	79.75
TZ2	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.15
TZ2	FJ795779	potyvirus	Sweet potato feathery mottle virus	89.85
TZ201	EU839578	begomovirus	Ipomoea yellow vein virus	93.15
TZ201	DQ644561	begomovirus	Merremia leaf curl virus	93.29
TZ201	FJ560943	badnavirus	Sweet potato badnavirus A	78.04
TZ201	KF836892	badnavirus	Sweet potato badnavirus B	86.64
TZ201	JQ902104	badnavirus	Sweet potato badnavirus C	82.27
TZ201	EF155987	potyvirus	Sweet potato feathery mottle virus	96.86
TZ201	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.38
TZ201	KF836891	begomovirus	Sweet potato leaf curl virus	94.88
TZ201	FJ969831	begomovirus	Sweet potato mosaic virus	91.95
TZ208	JQ902103	badnavirus	Sweet potato badnavirus C	93.9
TZ208	HQ333142	begomovirus	Sweet potato leaf curl virus	94.77
TZ211	FJ560943	badnavirus	Sweet potato badnavirus A	79.7
TZ211	KF836892	badnavirus	Sweet potato badnavirus B	83.88
TZ211	JQ902104	badnavirus	Sweet potato badnavirus C	75.9
TZ211	AB439206	potyvirus	Sweet potato feathery mottle virus	97.4
TZ214	FJ560943	badnavirus	Sweet potato badnavirus A	79.61
TZ214	KF836892	badnavirus	Sweet potato badnavirus B	85.41
TZ214	JQ902104	badnavirus	Sweet potato badnavirus C	80.06
TZ214	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.2
TZ214	AB465608	potyvirus	Sweet potato feathery mottle virus	96.4
TZ214	KF386015	potyvirus	Sweet potato virus C	94.65
TZ216	FJ560943	badnavirus	Sweet potato badnavirus A	77.23
TZ216	KF836892	badnavirus	Sweet potato badnavirus B	88.08
TZ216	JQ902104	badnavirus	Sweet potato badnavirus C	82.24
TZ216	AB465608	potyvirus	Sweet potato feathery mottle virus	97.06
TZ217	FJ560943	badnavirus	Sweet potato badnavirus A	79.03
TZ217	KF836892	badnavirus	Sweet potato badnavirus B	89
TZ217	JQ902103	badnavirus	Sweet potato badnavirus C	86.44
TZ217	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.19
TZ217	AB439206	potyvirus	Sweet potato feathery mottle virus	97.09
TZ222	FJ560943	badnavirus	Sweet potato badnavirus A	80.81
TZ222	KF836892	badnavirus	Sweet potato badnavirus B	90.21
TZ222	JQ902104	badnavirus	Sweet potato badnavirus C	84.12
TZ227	FJ560943	badnavirus	Sweet potato badnavirus A	78.89
TZ227	KF836892	badnavirus	Sweet potato badnavirus B	89.77
TZ227	JQ902104	badnavirus	Sweet potato badnavirus C	82.47
TZ227	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.18
TZ228	AY523547	potyvirus	Sweet potato feathery mottle virus	98.07
TZ231	FJ560943	badnavirus	Sweet potato badnavirus A	80.83
TZ231	KF836892	badnavirus	Sweet potato badnavirus B	92.34
TZ231	JQ902104	badnavirus	Sweet potato badnavirus C	85.78
TZ231	AB465608	potyvirus	Sweet potato feathery mottle virus	97.46
TZ232	FJ560943	badnavirus	Sweet potato badnavirus A	78.12
TZ232	KF836892	badnavirus	Sweet potato badnavirus B	90.13
TZ232	JQ902104	badnavirus	Sweet potato badnavirus C	78.57
TZ241	JQ902104	badnavirus	Sweet potato badnavirus C	95.51
TZ241	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.67
TZ241	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ242	AB465608	potyvirus	Sweet potato feathery mottle virus	96.97
TZ242	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.89
TZ253	FJ560943	badnavirus	Sweet potato badnavirus A	82.34
TZ253	KF836892	badnavirus	Sweet potato badnavirus B	88.19
TZ253	JQ902104	badnavirus	Sweet potato badnavirus C	80.83
TZ253	KF386015	potyvirus	Sweet potato virus C	94.91
TZ257	FJ560943	badnavirus	Sweet potato badnavirus A	78.15
TZ257	KF836892	badnavirus	Sweet potato badnavirus B	87.33
TZ257	JQ902104	badnavirus	Sweet potato badnavirus C	80.82
TZ257	KF386015	potyvirus	Sweet potato virus C	96.86
TZ261	AM072694	badnavirus	Dioscorea bacilliform virus 1	76.27
TZ261	FJ560943	badnavirus	Sweet potato badnavirus A	79.02
TZ261	KF836892	badnavirus	Sweet potato badnavirus B	87.82
TZ261	JQ902104	badnavirus	Sweet potato badnavirus C	77.95
TZ262	FJ560943	badnavirus	Sweet potato badnavirus A	79.75
TZ262	KF836892	badnavirus	Sweet potato badnavirus B	90.88
TZ262	JQ902104	badnavirus	Sweet potato badnavirus C	83.57
TZ262	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.95
TZ262	FJ155666	potyvirus	Sweet potato feathery mottle virus	95.44
TZ268	FJ560943	badnavirus	Sweet potato badnavirus A	79.88
TZ268	KF836892	badnavirus	Sweet potato badnavirus B	87.59
TZ268	JQ902104	badnavirus	Sweet potato badnavirus C	82.59
TZ268	AY523547	potyvirus	Sweet potato feathery mottle virus	98.68
TZ268	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ27	FJ560943	badnavirus	Sweet potato badnavirus A	79.35
TZ27	KF836892	badnavirus	Sweet potato badnavirus B	86.94
TZ27	JQ902104	badnavirus	Sweet potato badnavirus C	81.1
TZ27	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.02
TZ27	AB465608	potyvirus	Sweet potato feathery mottle virus	97.31
TZ27	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ3	FJ560943	badnavirus	Sweet potato badnavirus A	76.62
TZ3	KF836892	badnavirus	Sweet potato badnavirus B	83.23
TZ3	JQ902104	badnavirus	Sweet potato badnavirus C	77.16
TZ36	FJ560943	badnavirus	Sweet potato badnavirus A	77.68
TZ36	KF836892	badnavirus	Sweet potato badnavirus B	86.5
TZ36	JQ902104	badnavirus	Sweet potato badnavirus C	82.01
TZ36	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ46	FJ560943	badnavirus	Sweet potato badnavirus A	77.77
TZ46	KF836892	badnavirus	Sweet potato badnavirus B	88.34
TZ46	JQ902104	badnavirus	Sweet potato badnavirus C	82.04
TZ46	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.5
TZ46	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ6	FJ560943	badnavirus	Sweet potato badnavirus A	77.54
TZ6	KF836892	badnavirus	Sweet potato badnavirus B	89.35
TZ6	JQ902104	badnavirus	Sweet potato badnavirus C	88.79
TZ6	AY523547	potyvirus	Sweet potato feathery mottle virus	97.64
TZ6	KF386015	potyvirus	Sweet potato virus C	92.42
TZ61	FJ560943	badnavirus	Sweet potato badnavirus A	79.86
TZ61	KF836892	badnavirus	Sweet potato badnavirus B	88.3
TZ61	JQ902104	badnavirus	Sweet potato badnavirus C	82.62
TZ61	AB465608	potyvirus	Sweet potato feathery mottle virus	96.48
TZ61	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ66	FJ560943	badnavirus	Sweet potato badnavirus A	77.52
TZ66	KF836892	badnavirus	Sweet potato badnavirus B	87.96
TZ66	JQ902103	badnavirus	Sweet potato badnavirus C	92.55
TZ66	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.89
TZ66	AY523547	potyvirus	Sweet potato feathery mottle virus	97.64
TZ66	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
TZ9	FJ560943	badnavirus	Sweet potato badnavirus A	74.92
TZ9	KF836892	badnavirus	Sweet potato badnavirus B	88.49
TZ9	JQ902104	badnavirus	Sweet potato badnavirus C	83.84
TZ9	AY523547	potyvirus	Sweet potato feathery mottle virus	96.9
TZ9	KF386015	potyvirus	Sweet potato virus C	92.8
TZ97	FJ560943	badnavirus	Sweet potato badnavirus A	78.75
TZ97	KF836892	badnavirus	Sweet potato badnavirus B	89.23
TZ97	JQ902103	badnavirus	Sweet potato badnavirus C	89.66
TZ97	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.7
UG103	JQ902104	badnavirus	Sweet potato badnavirus C	96.53
UG103	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.35
UG103	AY523547	potyvirus	Sweet potato feathery mottle virus	97.97
UG103	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG104	FJ560943	badnavirus	Sweet potato badnavirus A	77.84
UG104	KF836892	badnavirus	Sweet potato badnavirus B	92.4
UG104	JQ902104	badnavirus	Sweet potato badnavirus C	82.29
UG104	AY461421	carlavirus	Sweet potato chlorotic fleck virus	97.49
UG104	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.5
UG104	AY523547	potyvirus	Sweet potato feathery mottle virus	98.74
UG104	KJ844870	begomovirus	Sweet potato leaf curl virus	95.97
UG104	KF386015	potyvirus	Sweet potato virus C	93.89
UG105	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.34
UG105	FJ155666	potyvirus	Sweet potato feathery mottle virus	90.86
UG105	KJ844870	begomovirus	Sweet potato leaf curl virus	100
UG105	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
UG107	EU839578	begomovirus	Ipomoea yellow vein virus	94.77
UG107	JQ902104	badnavirus	Sweet potato badnavirus C	77.04
UG107	AY461421	carlavirus	Sweet potato chlorotic fleck virus	97.93
UG107	KC288170	begomovirus	Sweet potato leaf curl virus	98.4
UG110	FJ560943	badnavirus	Sweet potato badnavirus A	80.3
UG110	KF836892	badnavirus	Sweet potato badnavirus B	87.9
UG110	JQ902104	badnavirus	Sweet potato badnavirus C	77.97
UG110	AY461421	carlavirus	Sweet potato chlorotic fleck virus	97.53
UG110	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.31
UG110	AY523547	potyvirus	Sweet potato feathery mottle virus	97.23
